location,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18
European Union,,,93,74,103,158,250,285,347,707,494,604,866,1312,1550,1993,2383,2900,2768,4652,3276,10163,7397,7353,10154,9957,12435,16803,17436,18682,17295,22235,20276,26486,31047,30576,31734,25323,26241,30329,29675,28299,30191,5963,20523,19632,15482,25834,24857,23189,20097,67681,16693,28744,21414,33011,20875,15906,18354,12990,15478,16886,13540,3301,12783,10160,11442,10740,8152,8810,8516,7228,5772,5385,7154,10876,8198,7813,5742,4775,6882,6023,5297,5718,5335,4381,3134,3871,5093,4757,4319,6140,3969,2517,2342,4084,3355,8560,4764,4903,2546,2518,2033,-20,7638,4544,4273,3194,3180,3822,3837,4058,4726,3748,2986,2727,4210,4534,5613,4018,3573,2719,3049,4550,4591,4249,5401,3975,2393,3200,3290,4158,4087,4116,2980,2472,4394,2912,4091,4052,4647,3372,2478,5432,3346,4689,5702,6048,3468,2734,9582,5391,6676,7953,7901,4670,3686,12176,6590,8844,10210,10150,5253,3723,16234,11813,10978,12339,13912,5857,4983,18601,10613,13568,17567,16524,9968,7837,22119,13703,18154,19969,21435,10598,10362,27632,17257,16025,29332,24384,13101,11490,32881,19812,24135,25287,29280,17377,14326,39146,24887,27156,32439,34266,22597,16057,43372,29868,35118,39397,44722,28654,23665,49886,37056,40718,46130,49387,32188,26661,51368,26881,54976,47260,51630,41453,34040,52327,49613,64067,72272,80457,73372,53370,75681,71351,96244,112738,112866,102761,92154,113044,110878,140598,161361,177043,153584,106466,218303,171332,191644,219803,231908,174252,161977,272948,213842,152169,242094,248403,234935,161779,165470,181659,223322,209692,206658,169666,132026,159726,202093,187984,190348,188361,147255,105496,120303,158060,160223,159133,154592,119131,86150,95615,128091,133368,148494,135798,125262,92396,78273,128977,136412,154114,147273,112069,116352,83877,141864,160663,161221,157495,124307,88588,98775,147685,155031,153919,97638,59525,60852,81948,143695,196405,163220,185199,64500,77662,101201,172428,162430,202958,187178,134494,91656,126646,152756,174434,165901,148308,85296,102973,135233
Spain,,,,,,,,,,,36,45,57,37,141,100,173,400,622,582,,2955,1159,1407,2144,1806,2162,4053,2447,4964,3394,6368,4749,9630,8271,7933,7516,6875,7846,7967,8195,7947,7134,6969,5478,5029,5267,6278,5002,5051,4754,3804,3268,2442,5103,7304,5891,887,6948,1536,3968,4211,4635,-10034,2915,1729,1831,1308,2144,518,1781,1366,884,545,1318,996,1122,1410,721,772,3086,594,661,849,643,515,,908,431,518,482,1787,466,482,-372,859,,1647,658,664,251,159,294,394,334,318,332,240,167,249,314,427,502,396,323,181,219,355,585,307,363,334,232,248,334,400,419,564,301,200,301,388,444,442,,,1244,341,383,543,852,,,2045,666,875,1361,1400,,,4581,1358,1357,2615,2255,,,6361,1828,2031,2789,3092,,,8532,5760,2953,4088,4507,,,8618,3632,3172,7550,5479,,,16269,5114,6671,7039,8148,,,19382,7117,7296,9658,9779,,,23572,8115,8581,8959,10476,,,26560,8964,8866,10764,12183,,,27404,9437,11193,11291,14389,,,31428,10799,11289,10653,12272,,,31785,,20922,9419,11325,,,23480,11998,10491,12423,12788,,,27856,7118,11970,13318,15186,,,37889,13873,16973,20986,19851,,,52188,18418,19765,23580,25595,,,55019,18669,25042,21908,22516,,,52386,,36491,19511,21371,,,38273,13159,15318,16233,15156,,,25886,12228,10222,12289,10853,,,19979,8257,9331,10127,8745,,,17681,,9773,7955,10519,,,21309,10328,11078,12131,11815,,,22013,10654,12386,12662,,,,24462,14089,16716,18047,,,,30579,23700,,42360,25456,,,61422,25438,38869,35878,40197,,,84287
United Kingdom,,,,,,,,,,,40,55,56,49,79,55,54,147,258,411,489,479,364,442,612,768,999,1055,1254,1197,1376,2335,2371,2693,3084,3201,2822,2857,4273,4515,4914,4865,4915,4020,3594,5275,5450,5129,4852,4315,3577,3495,4183,4325,5065,5298,4965,4716,3852,4858,4760,5490,5143,4973,3748,3468,4702,4721,5435,4956,4727,3221,2974,3378,3684,3831,3767,3049,2150,2321,3583,3389,3298,2609,2517,2065,1826,2574,3041,2706,2542,2030,1507,1348,1607,1650,1802,1734,1504,1099,1069,1434,1467,1342,1234,1105,791,717,1086,1153,1182,1001,1053,887,807,1026,1077,997,1020,980,666,622,892,882,774,697,638,633,395,604,403,60,4,502,624,516,352,581,630,642,512,820,650,530,1240,538,641,687,827,726,580,445,560,769,768,767,745,685,547,797,846,880,761,743,938,670,891,950,871,758,1062,816,1148,1009,1129,1440,1012,1105,713,1089,812,1182,1033,1288,1041,972,1184,1048,1522,1276,1108,1715,1406,1295,1508,1735,1940,1813,2988,2948,2460,2659,2919,3539,3497,3330,2621,3103,3991,3395,4322,4422,3899,4368,4926,6178,6634,6873,6041,5692,4044,7143,7108,6914,6968,12871,22961,12593,14542,14162,17540,13864,15165,12872,13972,17232,19724,18978,15635,16171,16981,18803,21330,26687,21238,20531,23012,19790,20890,22885,24700,23065,24405,21915,23254,18950,20018,25177,24138,23287,24957,20572,21350,20412,22950,33470,27301,26860,24962,21363,20051,19609,22915,20252,19875,18662,15450,11299,18213,17555,14739,15871,12155,12330,13429,16170,14878,16298,15539,17271,14718,12281,16578,20964,21672,21501,18447,20263,18450,25161,35383,28507,27052,35928,33364,36803,39237,39036,32725,34693,32340,41385,53135,50023,55892,60909,57853,55157,58923,61087,62556,52787,68192,60098,55026,46275,45648,47662,48804,55885,41428,38670,37610
Brazil,,,,,,,,,,,,,,,,,,,,,,99,,11,38,121,51,249,172,228,525,378,323,307,431,432,487,352,323,1138,1119,1208,1012,1304,770,1031,1873,2136,1922,1546,1089,1465,1238,1832,3058,2105,3257,2976,1996,2089,2336,2678,4279,4007,5281,3776,4346,5789,6450,7502,5015,4898,4726,6794,6835,11156,9162,11121,9167,6638,6895,8620,11923,13028,17126,13220,7569,14288,16517,19694,18508,20803,16508,15813,11687,16324,20599,26417,26928,33274,16409,11598,28936,28633,30925,30830,27075,18912,15654,32091,32913,30412,25982,21704,17110,20647,34918,32188,22765,54771,34666,15762,23129,39436,42725,39483,46860,38693,30476,24052,33846,46712,48105,42223,37923,26051,20229,45305,44571,42619,45048,39023,24831,20286,41857,39924,45403,34177,28532,23529,20257,41008,67860,59961,55891,51147,24578,23284,40816,69074,57837,52383,45392,25800,16641,51603,57152,53139,50230,49970,23010,22048,52160,55155,60091,50644,41576,23101,19373,47784,49298,45323,30355,50032,23421,17078,47134,47161,44235,43412,41350,16158,45961,42659,46934,43773,50163,31199,14521,10273,14279,35816,40557,43718,33523,14768,15155,36653,36820,36303,39797,33057,16389,13411,33324,,66338,31911,28378,14318,13155,32058,33413,36157,,59741,8456,11946,41906,31553,27750,27444,26749,12342,8429,10220,27235,28523,30914,24062,,26365,23227,24818,24858,30026,26979,13493,15726,29787,28629,26106,22282,18947,10100,8501,11843,23976,,41156,22380,10554,10917,23973,48655,33922,29070,38307,14134,13371,35294,34091,35918,38397,32622,18615,16207,31100,47898,37614,34130,51922,24468,21138,50909,49863,50434,46884,43209,26363,20371,51088,53453,53347,54428,43900,21825,25193,42889,70574,69826,52544,50177,25445,25019,55202,46696,58428,24615,17246,18479,20548,58718,55649,56773,24605,15827,17341,20006,56648,63430,87843,52035,62290,29792,25822,64025,60899,67758,69198,61567,33040,23671
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,24,33,52,54,53,61,71,57,163,182,196,228,270,302,501,440,771,601,582,658,954,1154,1175,1459,1786,1667,2186,2558,2774,3388,3448,4070,4785,6060,4268,5642,5236,4774,5849,5966,6361,6198,6411,5841,7099,7933,9623,10633,10581,10102,10559,11231,10699,10817,11012,11656,10899,10028,9974,10598,9200,9709,8926,9263,8764,8849,8894,9434,8599,8946,8915,8338,8371,8572,8952,9268,8485,8858,8529,8823,8718,8846,8971,8970,8587,8393,8777,8961,8697,8809,8217,8241,7824,7772,7971,7870,7717,7586,7413,7165,7105,6788,6843,6784,6683,6683,6550,6752,6710,6623,6719,6569,6363,6534,6491,6623,6586,6587,6511,6240,6410,6415,6389,6214,6096,5901,5828,5850,5830,5779,5833,5741,5607,5380,5449,5484,5468,5429,5387,5364,5121,5186,5239,5191,5185,5155,5081,4892,5054,5017,5016,5030,4911,4839,4718,4790,4767,4838,4860,4797,4688,4639,4642,4675,4758,4843,4897,4932,4670,4893,4958,5064,5144,5097,5106,5020,5172,5310,5421,5406,5361,5414,5435,5612,5667,5803,5960,6043,6090,6109,6330,6489,7112,7421,7764,8026,8129,8371,8835,9294,9735,10376,10757,11481,10981,11345,11969,12673,13442,13406,13690,14041,13556,14937,14703,14804,15843,16108,15444,15704,17077,16260,16392,17148,16342,15886,17418,17987,17834,18381,18017,18431,19483,19116,20368,20109,20248,21577,20765,19583,21333,21717,22441,22313,22562,22201,20717,23337,24059,24538,24295,24891,24087,23393,25195,27267,26809,26390,26046,26126,25043,27829,27078,28450,28701,27798,25752,25838,27562,28206,27729,27651,26902,26265,26074,27787,28116,27772,28510,28917,28340,26814,29499,28595,28833,27849,27363,26588,26095,27329,26613,25938,23845,23015,23955,23902,23218,23330,23012,22540,23018,22657,22544,24303,24294,23670,23178,22509
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,50,38,35,46,101,92,21,48,69,94,96,108,159,96,106,139,79,94,201,274,169,250,236,67,76,127,126,128,206,182,171,185,172,207,205,320,261,237,218,352,258,300,499,279,383,305,640,346,497,595,444,568,550,659,658,680,606,723,635,721,640,752,643,801,1046,998,806,1022,1101,1262,1322,1548,1147,1110,1340,1521,1766,1515,1392,1209,1483,1359,1604,1530,1646,1888,2193,2124,1868,2115,3171,3059,2357,3019,2531,2389,3541,3486,3843,4149,3178,3274,2803,4163,4101,3395,3884,3721,3171,4213,4144,5335,6803,4856,4813,3832,5621,5271,8037,8934,8560,6578,6727,7033,7390,7945,7168,7254,8181,8125,10284,8670,9965,9488,10673,11470,10199,7129,10735,11996,9494,9666,10611,10142,12830,12066,11286,11306,11578,11643,8328,12462,13056,11541,8419,10965,8036,10549,10425,10130,9752,8497,9392,8020,7190,8932,9295,8253,8489,8393,8065,5327,7665,7338,7813,7424,6876,7355,5573,6698,7787,7568,6526,7927,6678,5359,7102,6731,6555,7494,7721,7018,5147,5839,5637,5660,6193,6615,6905,7106,7650,7876,8495,8121,8447,8569,7768,5014,6061,6823,8372,7017,7201,6311,8256,7561,8673,8569,8769,8174,9167,8166,8717,11187,10029,11033,9137,9935,6136,8694,9891,9756,8714,7440,5177,6292,9970,8686,8685,8937,7112,6471,5911,6875,7487,7954,7049,7924,6562,7515,8497,9496,10023,9103,8763,8430,7986,9297,9233,9285,9642,8854,5997,7510,7523,7778,8998,8163,8702,8742,10130,11953,12196,13277,13990,11160,10845,12526,14233,14940,14941,10196,9594,9310,11015,11639,16314,12105,11528,9412,10311,16835,16805,17576,18221,15795,15537,15003,14179,15898,17121,21078,20855,17379,14719
India,,,,,,,,,,,,,,,,,,,,,,,20,11,6,23,14,38,50,86,66,103,37,121,70,160,100,37,227,146,601,545,24,515,506,1190,533,605,809,873,848,759,1248,1034,835,1108,922,1370,1893,924,1541,1290,1707,1453,1753,1607,1561,1873,1738,1801,2394,2442,2806,3932,2963,3587,3364,3344,3113,4353,3607,3524,3763,3942,3787,4864,5050,4630,6147,5553,6198,6568,6629,7113,6414,5843,7293,7300,8105,8336,8782,7761,8821,9633,9889,9471,10438,10864,8442,10218,10459,10930,11458,11929,11502,10667,10974,12881,13586,14516,15403,14831,14933,15968,16922,17296,18552,19906,19459,18522,18641,19160,20903,22771,24850,24248,22251,22753,24879,26506,27114,28606,28732,28498,29429,32676,34975,35252,38697,40425,37132,37740,45720,49310,48916,48611,49981,44457,51596,50294,52783,61242,54735,52972,52050,52509,56282,62538,61537,64399,62064,53601,60963,66999,64553,64732,64030,57711,55018,64572,69672,68900,69876,69239,61408,60975,57224,85687,77266,76472,78761,78512,69921,78357,83883,83341,86432,90632,90802,75809,89706,95735,96551,97570,94372,92071,83809,90123,97894,96424,93337,92605,86961,75083,83347,86508,86052,85362,88600,82170,70589,80472,86821,81484,79476,75829,74442,61267,72049,78524,70496,73272,74383,66732,55342,63509,67708,63371,62212,61871,55722,46790,54044,55839,54366,53370,50129,45148,36470,43893,49881,48648,48268,46963,45231,38310,46253,50210,47638,50356,45674,45903,38073,44281,47905,44879,44684,41100,30548,29163,38617,45576,45882,46232,45209,44059,37975,44376,44489,43082,41322,41810,38772,31118,36604,35551,36595,36652,36011,32981,26567,32080,31521,29373,30031,30254,27071,22065,26382,24010,22890,25152,26624,24337,19556,23950,24712,23067,22273,18732,20021,16432,20549,21822,,20035,37256,16504,16375,18088,20346,18139,,36867,16311,12584,15968,16946,15590,15158,15144,13788,10050
Germany,,,,,,,,,,51,29,37,66,220,188,129,241,136,281,451,170,1597,910,1210,1477,1985,3070,2993,4528,2365,2660,4183,3930,4337,6615,6933,6824,4400,4790,4923,6064,6922,6365,4933,4031,3251,4289,5633,4885,3990,2737,2946,2218,1287,3394,2945,3699,1945,1842,1881,1226,2357,2481,1870,1514,1257,988,1154,1627,1470,1068,890,697,488,855,1155,1268,1158,736,555,697,595,927,380,755,519,617,182,1227,695,548,689,276,342,272,600,324,672,726,267,221,184,285,242,351,452,526,300,359,397,16,169,535,41,251,164,570,352,1213,482,371,602,496,712,391,500,665,422,235,349,376,475,477,410,418,325,541,279,356,302,331,377,210,261,276,434,560,595,381,309,590,392,559,605,742,655,389,445,595,839,989,864,606,215,891,717,1285,926,1157,707,385,1220,1032,1319,1422,1510,697,519,1693,1420,1586,1586,1737,832,633,1628,1461,1427,1561,1555,709,470,1497,1213,1396,1429,1443,775,670,1898,1331,1476,1716,1586,1082,920,1485,1792,1855,2179,2199,1685,1033,1595,1852,1613,2321,2366,1314,1313,2292,1840,2442,2626,2835,1653,1546,3100,2454,4010,4804,4554,2968,2846,6541,4464,7173,7620,7695,4862,4007,8397,8523,12331,5952,13476,10458,9890,12560,13161,16202,18733,19382,14054,12556,25252,7533,31480,22561,22820,14122,14510,6522,26547,22401,24738,22261,14640,3213,14580,26231,23727,24041,22593,13872,4377,14455,16370,32687,21951,20819,13845,3197,14221,24766,23275,23591,15970,26126,10910,5456,29263,25089,32734,27217,21792,14709,6451,33825,32744,30179,32830,21679,6444,19256,36153,33758,26467,2140,13504,12399,14004,19466,49044,19367,2117,10903,10356,12320,18349,26663,45333,19077,22824,948,11706,27210,25566,21343,8593,14817,11484,9253
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,21,17,38,55,84,58,81,64,65,107,104,103,153,109,130,129,114,149,113,196,106,181,218,247,218,337,219,330,399,316,282,297,380,407,325,327,185,375,283,357,436,396,275,214,415,260,347,433,292,349,395,484,367,338,336,533,387,233,484,689,568,490,529,489,496,486,693,973,634,949,526,479,415,686,687,678,557,700,467,609,684,585,703,993,672,847,1043,1240,979,1111,1014,857,1017,1106,1031,1331,1041,1226,862,954,1051,1113,1178,1240,1385,1198,1082,1293,1385,1624,1301,1447,1607,1209,1268,1853,2657,1611,1671,1681,1282,1591,1522,1574,1462,1752,1639,1693,1655,1882,1906,1761,1868,1492,1525,1748,2381,1904,2040,1560,1519,1679,1922,1815,1882,2473,2277,1893,1687,1693,1942,2098,2307,2345,2081,1821,1673,1902,2266,2197,2090,2037,1877,2447,2306,2719,3003,3308,2858,2743,2775,3075,3622,3269,3128,3444,2880,3046,3307,3861,3737,3806,3636,3141,3507,3963,3635,3891,4168,3989,4176,4071,4465,4634,4823,4494,3874,3509,4002,4284,4174,4317,4007,3992,3622,4056,4538,4850,4094,4294,4497,3267,3906,4127,4411,4301,4301,4105,3373,3602,4267,4432,4369,4070,3732,3222,3520,4029,3565,2897,3143,2696,2618,2973,3356,4065,3778,4262,3880,2853,3779,3770,4173,5444,5272,4106,3535,3807,4265,4798,4792,4998,4360,4442,4192,5534,4917,5828,5418,6267,4617,5092,5533,8369,5803,6027,6089,5754,5292,6058,6033,6310,6388,6189,5489,6120,6725,7354,6689,7751,6982,6848,6347,7514,7199,7259,6740,6528,5854,7903,8002,8074,8072,7203,6877,6753,7445,8854,9321,10617,10046,9640,8692,10047,11278,11557,12818,14224,11287,9086
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,54,34,52,38,34,128,152,155,218,243,17,93,46,27,27,82,43,80,70,31,63,96,89,69,25,145,99,143,91,99,178,251,124,142,165,170,318,267,141,185,247,203,354,297,304,385,447,437,352,236,424,663,525,595,637,698,724,665,785,831,1160,918,767,803,1134,988,1218,1240,1032,649,1673,1466,1837,1727,1716,1674,1455,1713,3267,2642,2539,2312,2594,2112,2430,3147,3359,3809,4302,3495,2801,4078,3478,3825,4966,4621,4288,4518,5688,6579,6215,7210,6334,6130,6945,8124,8728,9063,10853,8773,8971,10134,8810,13674,12348,13497,12058,11554,10496,12757,13172,13373,13285,13449,9300,8170,13150,13104,13944,12204,11233,7096,7232,11362,11046,11014,10107,8195,5377,4456,8559,8307,7292,7712,6671,3739,2511,2810,3946,6275,4513,3692,2541,2258,3916,3880,3398,3707,2728,1677,1567,2684,2585,1846,2419,2505,1985,1218,2336,2420,2063,1806,1633,845,1079,1990,2007,1960,1816,1579,956,772,1923,2128,2055,2029,1555,725,1346,1906,1861,1480,969,1268,903,903,1767,1745,1749,1883,1573,926,1027,1913,1736,1461,2544,1575,888,1178,1877,1770,2019,1928,1662,1461,1050,2055,2156,1897,1834,1622,891,1092,1863,2056,1912,1770,1371,772,1241,1712,1866,1761,1731,1372,1247,1729,2140,2338,2213,2237,1842,1245,1987,2888,2514,3105,2646,2270,2080,2493,3250,3069,3370,3198,2563,2302,2295,4173,4400,4932,4645,4116,3313,4011,6709,8166,8319,7882,7999,5163,7552,10008,9126,8725,10939,9445,8789,9501,14046,14305,14796,11552,9502,7458,9580,17710,18000,16726,15002,11859,12601,14410,21832,20999,21980,21606,17421,15046,13105,18555,18503,14880,13973,12267,9010
